codigo_mesa,departamento,provincia,distrito,participacion_pct,electores_habiles,votos_emitidos,total_validos,winner_party,winner_votes,winner_share_pct,winner_margin_pct,suspicious_party,suspicious_party_share_pct,suspicious_party_z,baseline_mean_share_pct,baseline_source,estimated_excess_votes,winner_last_digit,score,flag_top_0_2_pct
900070,AMAZONAS,CONDORCANQUI,NIEVA,73.82,191,141,92,JUNTOS POR EL PERÚ,83,90.22,86.96,JUNTOS POR EL PERÚ,90.22,2.7382,67.88,distrito,20.55,3,12.336,True
900893,AYACUCHO,VÍCTOR FAJARDO,SARHUA,60.97,228,139,101,JUNTOS POR EL PERÚ,87,86.14,83.17,JUNTOS POR EL PERÚ,86.14,3.5563,41.19,provincia,45.4,7,12.2654,True
900695,APURÍMAC,ANDAHUAYLAS,ANDAHUAYLAS,92.01,288,265,172,JUNTOS POR EL PERÚ,134,77.91,68.02,JUNTOS POR EL PERÚ,77.91,3.1849,32.43,distrito,78.23,4,12.2531,True
013110,CAJAMARCA,CHOTA,LAJAS,60.67,300,182,182,JUNTOS POR EL PERÚ,156,85.71,80.22,JUNTOS POR EL PERÚ,85.71,3.8853,59.54,distrito,47.64,6,12.2466,True
904139,PUNO,CARABAYA,OLLACHEA,70.89,158,112,85,JUNTOS POR EL PERÚ,70,82.35,80.0,JUNTOS POR EL PERÚ,82.35,3.9279,34.65,provincia,40.55,0,12.197,True
903710,PIURA,PIURA,CATACAOS,88.89,252,224,164,JUNTOS POR EL PERÚ,114,69.51,63.41,JUNTOS POR EL PERÚ,69.51,6.5586,8.1,distrito,100.72,4,12.1866,True
900100,AMAZONAS,CONDORCANQUI,EL CENEPA,84.68,248,210,157,JUNTOS POR EL PERÚ,143,91.08,89.17,JUNTOS POR EL PERÚ,91.08,2.0675,77.35,distrito,21.57,3,12.145,True
086460,AMÉRICA,ESTADOS UNIDOS DE ÁMERICA,MIAMI,18.27,498,91,91,RENOVACIÓN POPULAR,61,67.03,56.04,JUNTOS POR EL PERÚ,10.99,8.5014,0.45,distrito,9.59,1,12.1099,True
901479,CAJAMARCA,JAÉN,JAÉN,78.79,165,130,109,JUNTOS POR EL PERÚ,76,69.72,56.88,JUNTOS POR EL PERÚ,69.72,7.9271,23.02,distrito,50.9,6,12.1058,True
902166,HUANCAVELICA,TAYACAJA,QUICHUAS,79.08,153,121,108,JUNTOS POR EL PERÚ,95,87.96,83.33,JUNTOS POR EL PERÚ,87.96,2.7909,49.83,provincia,41.19,5,12.0946,True
