codigo_mesa,departamento,provincia,distrito,participacion_pct,electores_habiles,votos_emitidos,total_validos,winner_party,winner_votes,winner_share_pct,winner_margin_pct,suspicious_party,suspicious_party_share_pct,suspicious_party_z,baseline_mean_share_pct,baseline_source,estimated_excess_votes,winner_last_digit,score,flag_top_0_2_pct
900026,AMAZONAS,BAGUA,IMAZA,52.63,209,110,81,JUNTOS POR EL PERÚ,71,87.65,77.78,JUNTOS POR EL PERÚ,87.65,2.0433,66.55,distrito,17.1,1,10.5529,True
901360,CAJAMARCA,CHOTA,TACABAMBA,61.23,276,169,133,JUNTOS POR EL PERÚ,112,84.21,79.7,JUNTOS POR EL PERÚ,84.21,2.4023,66.02,distrito,24.19,2,10.5236,True
900734,APURÍMAC,ANDAHUAYLAS,TALAVERA,86.81,235,204,154,JUNTOS POR EL PERÚ,122,79.22,74.03,JUNTOS POR EL PERÚ,79.22,3.1339,36.22,distrito,66.23,2,10.5166,True
900035,AMAZONAS,BAGUA,IMAZA,63.64,66,42,24,JUNTOS POR EL PERÚ,21,87.5,79.17,JUNTOS POR EL PERÚ,87.5,2.0284,66.55,distrito,5.03,1,10.5075,True
903706,PIURA,PIURA,CATACAOS,87.98,233,205,168,JUNTOS POR EL PERÚ,111,66.07,55.36,JUNTOS POR EL PERÚ,66.07,6.1911,8.1,distrito,97.39,1,10.5058,True
903701,PASCO,DANIEL ALCIDES CARRIÓN,SANTA ANA DE TUSI,68.55,159,109,85,JUNTOS POR EL PERÚ,66,77.65,71.76,JUNTOS POR EL PERÚ,77.65,3.9821,37.09,provincia,34.47,6,10.4895,True
902345,HUÁNUCO,AMBO,COLPAS,58.18,220,128,96,JUNTOS POR EL PERÚ,79,82.29,77.08,JUNTOS POR EL PERÚ,82.29,2.8521,36.44,provincia,44.02,9,10.4719,True
904648,UCAYALI,ATALAYA,TAHUANIA,38.17,186,71,46,JUNTOS POR EL PERÚ,37,80.43,76.09,JUNTOS POR EL PERÚ,80.43,3.1732,27.78,distrito,24.22,7,10.4612,True
901090,CAJAMARCA,CAJAMARCA,CHETILLA,64.91,228,148,103,JUNTOS POR EL PERÚ,82,79.61,75.73,JUNTOS POR EL PERÚ,79.61,3.3017,27.13,provincia,54.06,2,10.451,True
902168,HUANCAVELICA,TAYACAJA,PICHOS,76.07,163,124,93,JUNTOS POR EL PERÚ,78,83.87,78.49,JUNTOS POR EL PERÚ,83.87,2.4914,49.83,provincia,31.66,8,10.4497,True
900764,APURÍMAC,CHINCHEROS,EL PORVENIR,80.84,261,211,161,JUNTOS POR EL PERÚ,103,63.98,56.52,JUNTOS POR EL PERÚ,63.98,7.1538,6.02,distrito,93.32,3,10.4279,True
903388,LORETO,DATEM DEL MARAÑÓN,ANDOAS,55.4,213,118,58,JUNTOS POR EL PERÚ,50,86.21,79.31,JUNTOS POR EL PERÚ,86.21,1.7254,50.3,distrito,20.83,0,10.4073,True
900694,APURÍMAC,ANDAHUAYLAS,ANDAHUAYLAS,92.71,288,267,209,JUNTOS POR EL PERÚ,149,71.29,62.2,JUNTOS POR EL PERÚ,71.29,2.7217,32.43,distrito,81.23,9,10.4057,True
012688,CAJAMARCA,CUTERVO,LA RAMADA,58.33,300,175,138,JUNTOS POR EL PERÚ,112,81.16,76.09,JUNTOS POR EL PERÚ,81.16,2.8618,49.99,provincia,43.01,2,10.3904,True
900101,AMAZONAS,CONDORCANQUI,EL CENEPA,84.5,200,169,133,JUNTOS POR EL PERÚ,116,87.22,83.46,JUNTOS POR EL PERÚ,87.22,1.4858,77.35,distrito,13.13,6,10.3731,True
013042,CAJAMARCA,CHOTA,CHIGUIRIP,67.49,243,164,139,JUNTOS POR EL PERÚ,116,83.45,79.14,JUNTOS POR EL PERÚ,83.45,2.3959,56.29,provincia,37.76,6,10.3662,True
902943,LAMBAYEQUE,FERREÑAFE,CAÑARIS,60.48,248,150,112,JUNTOS POR EL PERÚ,97,86.61,82.14,JUNTOS POR EL PERÚ,86.61,1.3554,65.93,distrito,23.16,7,10.3152,True
901198,CAJAMARCA,CELENDÍN,CHUMUCH,74.05,185,137,94,JUNTOS POR EL PERÚ,81,86.17,81.91,JUNTOS POR EL PERÚ,86.17,1.7192,55.62,provincia,28.72,1,10.307,True
900892,AYACUCHO,VÍCTOR FAJARDO,SARHUA,61.47,218,134,100,JUNTOS POR EL PERÚ,81,81.0,74.0,JUNTOS POR EL PERÚ,81.0,3.1497,41.19,provincia,39.81,1,10.2997,True
900770,APURÍMAC,COTABAMBAS,TAMBOBAMBA,89.12,193,172,118,JUNTOS POR EL PERÚ,90,76.27,72.03,JUNTOS POR EL PERÚ,76.27,2.5464,46.04,distrito,35.67,0,10.2887,True
901341,CAJAMARCA,CHOTA,MIRACOSTA,47.34,188,89,62,JUNTOS POR EL PERÚ,52,83.87,77.42,JUNTOS POR EL PERÚ,83.87,2.4328,56.29,provincia,17.1,2,10.2836,True
900071,AMAZONAS,CONDORCANQUI,RÍO SANTIAGO,78.47,274,215,171,JUNTOS POR EL PERÚ,147,85.96,82.46,JUNTOS POR EL PERÚ,85.96,1.1491,70.39,distrito,26.63,7,10.2662,True
900088,AMAZONAS,CONDORCANQUI,EL CENEPA,79.27,246,195,153,JUNTOS POR EL PERÚ,132,86.27,81.7,JUNTOS POR EL PERÚ,86.27,1.3438,77.35,distrito,13.66,2,10.2292,True
901377,CAJAMARCA,HUALGAYOC,BAMBAMARCA,73.61,288,212,197,JUNTOS POR EL PERÚ,167,84.77,79.7,JUNTOS POR EL PERÚ,84.77,2.0151,64.64,distrito,39.66,7,10.2061,True
005120,APURÍMAC,GRAU,SANTA ROSA,58.6,215,126,103,JUNTOS POR EL PERÚ,83,80.58,75.73,JUNTOS POR EL PERÚ,80.58,2.932,24.22,distrito,58.05,3,10.2026,True
902140,HUANCAVELICA,TAYACAJA,COLCABAMBA,74.27,171,127,107,JUNTOS POR EL PERÚ,90,84.11,81.31,JUNTOS POR EL PERÚ,84.11,1.5783,60.14,distrito,25.65,0,10.1981,True
